area_id,weight,weight_perc2.5,weight_perc25,weight_perc50,weight_perc75,weight_perc97.5,weight_std,weight_ci95,volume,volume_perc2.5,volume_perc25,volume_perc50,volume_perc75,volume_perc97.5,volume_std,volume_ci95,fat,fat_perc2.5,fat_perc25,fat_perc50,fat_perc75,fat_perc97.5,fat_std,fat_ci95,saturate,saturate_perc2.5,saturate_perc25,saturate_perc50,saturate_perc75,saturate_perc97.5,saturate_std,saturate_ci95,salt,salt_perc2.5,salt_perc25,salt_perc50,salt_perc75,salt_perc97.5,salt_std,salt_ci95,sugar,sugar_perc2.5,sugar_perc25,sugar_perc50,sugar_perc75,sugar_perc97.5,sugar_std,sugar_ci95,protein,protein_perc2.5,protein_perc25,protein_perc50,protein_perc75,protein_perc97.5,protein_std,protein_ci95,carb,carb_perc2.5,carb_perc25,carb_perc50,carb_perc75,carb_perc97.5,carb_std,carb_ci95,fibre,fibre_perc2.5,fibre_perc25,fibre_perc50,fibre_perc75,fibre_perc97.5,fibre_std,fibre_ci95,alcohol,alcohol_perc2.5,alcohol_perc25,alcohol_perc50,alcohol_perc75,alcohol_perc97.5,alcohol_std,alcohol_ci95,energy_fat,energy_fat_perc2.5,energy_fat_perc25,energy_fat_perc50,energy_fat_perc75,energy_fat_perc97.5,energy_fat_std,energy_fat_ci95,energy_saturate,energy_saturate_perc2.5,energy_saturate_perc25,energy_saturate_perc50,energy_saturate_perc75,energy_saturate_perc97.5,energy_saturate_std,energy_saturate_ci95,energy_sugar,energy_sugar_perc2.5,energy_sugar_perc25,energy_sugar_perc50,energy_sugar_perc75,energy_sugar_perc97.5,energy_sugar_std,energy_sugar_ci95,energy_protein,energy_protein_perc2.5,energy_protein_perc25,energy_protein_perc50,energy_protein_perc75,energy_protein_perc97.5,energy_protein_std,energy_protein_ci95,energy_carb,energy_carb_perc2.5,energy_carb_perc25,energy_carb_perc50,energy_carb_perc75,energy_carb_perc97.5,energy_carb_std,energy_carb_ci95,energy_fibre,energy_fibre_perc2.5,energy_fibre_perc25,energy_fibre_perc50,energy_fibre_perc75,energy_fibre_perc97.5,energy_fibre_std,energy_fibre_ci95,energy_alcohol,energy_alcohol_perc2.5,energy_alcohol_perc25,energy_alcohol_perc50,energy_alcohol_perc75,energy_alcohol_perc97.5,energy_alcohol_std,energy_alcohol_ci95,energy_tot,energy_tot_perc2.5,energy_tot_perc25,energy_tot_perc50,energy_tot_perc75,energy_tot_perc97.5,energy_tot_std,energy_tot_ci95,f_energy_fat,f_energy_saturate,f_energy_sugar,f_energy_protein,f_energy_carb,f_energy_fibre,f_energy_alcohol,energy_density,h_nutrients_weight,h_nutrients_weight_norm,h_nutrients_calories,h_nutrients_calories_norm,f_beer,f_dairy,f_eggs,f_fats_oils,f_fish,f_fruit_veg,f_grains,f_meat_red,f_poultry,f_readymade,f_sauces,f_soft_drinks,f_spirits,f_sweets,f_tea_coffee,f_water,f_wine,f_dairy_weight,f_eggs_weight,f_fats_oils_weight,f_fish_weight,f_fruit_veg_weight,f_grains_weight,f_meat_red_weight,f_poultry_weight,f_readymade_weight,f_sauces_weight,f_sweets_weight,h_items,h_items_norm,h_items_weight,h_items_weight_norm,representativeness_norm,transaction_days,num_transactions,man_day,population,male,female,age_0_17,age_18_64,age_65+,avg_age,area_sq_km,people_per_sq_km
E02000001,322.7910779,35,150,250,410,1000,318.4204212,3.305336719,99.70598817,18.7,56.8,75,113.6,264,74.45165949,1.603585486,8.541871895,0,0.2,1.8,12.5,47,13.97220852,0.116391344,3.412509167,0,0.1,0.5,3.4,21.3,6.495060463,0.054105177,0.526951175,0,0.01,0.1,0.7,2.5,1.458446208,0.012149154,9.628825888,0,0.8,3.5,10,58.5,15.92904143,0.13269216,5.27442026,0,0.5,2.7,7.7,24,6.724955061,0.056020246,15.8932942,0,0.3,5.3,20.4,72,21.85110568,0.182024162,1.621825112,0,0,1,2.3,8,2.463072442,0.020517895,0.326537394,0,0,0,0,7.11,1.735376841,0.014456043,76.87684706,0,1.8,16.2,112.5,423,125.7498767,1.047522092,30.7125825,0,0.9,4.5,30.6,191.7,58.45554416,0.486946592,38.51530355,0,3.2,14,40,234,63.71616571,0.530768641,21.09768104,0,2,10.8,30.8,96,26.89982024,0.224080983,63.57317679,0,1.2,21.2,81.6,288,87.40442272,0.728096648,3.087583678,0,0,1.8,4.4,15.6,4.890700659,0.040740533,2.285761757,0,0,0,0,49.77,12.14763789,0.101192298,166.9210503,0,41,97.7,255.6,561.2,169.370929,1.410894345,0.460558132,0.183994664,0.230739643,0.126393172,0.380857757,0.01849727,0.01369367,0.517117919,1.727475707,0.743983292,1.613973652,0.695100617,0.025941347,0.122519913,0.010372918,0.023262129,0.022031137,0.318211441,0.122791455,0.04621651,0.017958001,0.058616944,0.011821144,0.023298335,0.003059377,0.143428675,0.005304127,0.020094135,0.025072411,0.082030693,0.026058096,0.023559836,0.021824637,0.401260014,0.170132494,0.052634472,0.0416459,0.068362213,0.015399243,0.097092403,3.18597562,0.779450663,2.742790326,0.792844209,0.602617115,31,74659,9052,6687,3697,2990,1018,4349,1320,43.91012412,2.9,2305.862069
E02000002,393.589615,32.875,157,300,500,1000,438.3206209,16.15309849,122.7035072,9,39.375,75,200,340.8,123.8325942,10.31558329,8.324326273,0,0.2,2.5,13.7,34.53,11.63806911,0.342494704,3.301090581,0,0.1,0.8,4.1,18.5,5.247043443,0.154414325,0.562022251,0,0.06,0.2,0.8175,2.3,1.541863807,0.045375241,11.17185219,0,1.6,4.7,11.8,58.5,16.37286897,0.481834302,5.102708427,0,0.5,3.1,8,21.9,5.923252595,0.174314366,20.77085624,0,1.5,10,38.6,73,24.15379779,0.710817898,1.705723299,0,0,1.1,2.3,8.0225,2.542335462,0.074817946,0.118389806,0,0,0,0,0,1.242131327,0.036554466,74.91893646,0,1.8,22.5,123.3,310.77,104.742622,3.082452335,29.70981523,0,0.9,7.2,36.9,166.5,47.22339099,1.389728928,44.68740874,0,6.4,18.8,47.2,234,65.49147587,1.927337209,20.41083371,0,2,12.4,32,87.6,23.69301038,0.697257466,83.08342497,0,6,40,154.4,292,96.61519117,2.843271592,3.091212258,0,0,2,4.4,14.8,4.495983164,0.132311504,0.828728644,0,0,0,0,0,8.69491929,0.255881262,182.333136,0,44.425,120.3,286,528.1,166.77196,4.907902893,0.410890407,0.16294249,0.245086602,0.111942536,0.455668272,0.01695365,0.004545135,0.463256979,1.581303758,0.68103046,1.532685501,0.660091716,0.004517732,0.097583013,0.010164897,0.017619155,0.016489722,0.244409307,0.176643325,0.04788796,0.020329794,0.067314208,0.015360289,0.031624125,0.003840072,0.18432347,0.005873052,0.050372713,0.005647165,0.055583707,0.030003287,0.017345763,0.013885095,0.305096605,0.288391797,0.04465381,0.043197874,0.059090409,0.025819616,0.116932036,3.188764768,0.780133029,2.746017601,0.793777101,0.058616698,31,6269,831,7379,3549,3830,2150,4151,1078,35.56728554,2.16,3416.203704
E02000003,351.3305851,26.225,125,250,440,1000,529.0130026,14.31314071,115.3199179,20,47.1,75,175,340.8,102.018701,6.414886367,10.97683618,0,0.2,3.6,17,56.995,16.02745947,0.349476847,4.62493071,0,0.1,1.1,5.6,21.7,8.386647362,0.182869848,0.587426782,0,0.03,0.24,0.8,2.2,1.643101782,0.035827639,12.25491215,0,1.3,4.5,13.2,60,17.96280611,0.39167685,5.415962633,0,0.5,3.5,8.2,22.8975,6.164592992,0.134418217,21.6567805,0,0.625,11.2,42.475,73.5,24.53503911,0.534983608,1.679621381,0,0,1.2,2.4,7.9,2.272065384,0.049542115,0.108698377,0,0,0,0,0,1.085444285,0.023667983,98.79152561,0,1.8,32.4,153,512.955,144.2471353,3.145291619,41.62437639,0,0.9,9.9,50.4,195.3,75.47982626,1.64582863,49.0196486,0,5.2,18,52.8,240,71.85122443,1.566707399,21.66385053,0,2,14,32.8,91.59,24.65837197,0.537672866,86.627122,0,2.5,44.8,169.9,294,98.14015645,2.139934433,3.142266766,0,0,2,4.6,15.6,4.560360644,0.099438121,0.760888636,0,0,0,0,0,7.598109994,0.165675884,210.9856535,0,48.9,165.8,340.625,619.375,189.5182718,4.132423364,0.468238119,0.19728534,0.232336407,0.102679259,0.410582997,0.014893272,0.003606352,0.600533123,1.597642104,0.688067002,1.496699564,0.644593417,0.005216743,0.095640293,0.008446156,0.031797292,0.017885977,0.212395976,0.171407279,0.045957024,0.01565023,0.074649112,0.012793442,0.038877158,0.001738914,0.211774935,0.006707241,0.04011924,0.008942988,0.062085654,0.023937744,0.034618459,0.017228071,0.314576385,0.254061933,0.0555066,0.046586785,0.047907733,0.017304584,0.126186053,3.2202377,0.787832899,2.799597691,0.80926522,0.099647344,31,11601,1783,10720,5297,5423,2762,6649,1309,35.70046642,2.14,5009.345794
E02000004,347.7297005,30,138,250,425,1000,436.7355702,15.04608637,100.7642045,17.03125,46.7,75,113.6,340.8,90.06428971,7.126329503,9.429418217,0,0.2,3,15,37.3,13.34153456,0.366065672,3.579786484,0,0.1,1,4.7,19.1,5.989635249,0.164343902,0.576209403,0,0.05,0.29,0.86,2.1,1.299790151,0.035663705,11.69199021,0,1.4,4,12,59.9,17.778721,0.487813408,5.611134182,0,0.6,3.6,8.7,23,6.263903322,0.171869283,20.63347307,0,1.5,10.7,33,73,23.67890177,0.649702854,1.700123408,0,0,1.1,2.2,8.3,2.600992351,0.071366154,0.12410764,0,0,0,0,0,1.106306086,0.03035488,84.86476396,0,1.8,27,135,335.7,120.0738111,3.294591044,32.21807835,0,0.9,9,42.3,171.9,53.90671724,1.479095119,46.76796082,0,5.6,16,48,239.6,71.11488399,1.951253631,22.44453673,0,2.4,14.4,34.8,92,25.05561329,0.687477131,82.53389226,0,6,42.8,132,292,94.71560709,2.598811415,3.138738492,0,0,2,4.4,15.8,5.106357766,0.140108492,0.868753477,0,0,0,0,0,7.744142605,0.21248416,193.8506849,0,44.8,148,292.1,543.6,175.2061982,4.807316151,0.437784184,0.166200488,0.241257651,0.115782602,0.425760127,0.016191526,0.00448156,0.557475202,1.614731455,0.695426985,1.537623749,0.662218504,0.007961783,0.074243631,0.008558917,0.020302548,0.018511146,0.217356688,0.162420382,0.057125796,0.016321656,0.096536624,0.011146497,0.041799363,0.001592357,0.204617834,0.007165605,0.044984076,0.009355096,0.05661554,0.026497471,0.024525965,0.020368915,0.317828761,0.211060481,0.06509762,0.048464,0.068883489,0.015607678,0.14505008,3.238739836,0.792359457,2.849986388,0.82383082,0.084982289,31,7798,1044,6536,3119,3417,1454,4044,1038,38.49311505,2.48,2635.483871
E02000005,391.6676411,24.975,150,260,500,1200,591.7962023,16.47348327,130.1223312,15,44,100,200,340.8,120.7494607,7.821418944,9.991756425,0,0.2,2.9,15.6,47,14.50718693,0.32318007,4.100285419,0,0.1,1,5,23.495,7.076180814,0.157637771,0.655886188,0,0.02,0.2,0.8,2.2,2.573276232,0.057325489,12.77486116,0,1.5,4.8,14.1,59.49,17.73823184,0.395158829,4.790200181,0,0.3,2.8,7.6,21.8,5.853171752,0.130392506,20.00288002,0,0.3,10,35.85,73,23.76647574,0.529451459,1.552789616,0,0,1,2.3,7.745,2.174436824,0.048440449,0.079710322,0,0,0,0,0,1.137644761,0.025343584,89.92580783,0,1.8,26.1,140.4,423,130.5646824,2.908620627,36.90256877,0,0.9,9,45,211.455,63.68562732,1.418739937,51.09944466,0,6,19.2,56.4,237.96,70.95292736,1.580635316,19.16080072,0,1.2,11.2,30.4,87.2,23.41268701,0.521570023,80.01152008,0,1.2,40,143.4,292,95.06590294,2.117805835,2.86509105,0,0,1.4,4.4,15.2,4.279534938,0.095336222,0.557972251,0,0,0,0,0,7.963513329,0.177405089,192.5211919,0,44.5,131.8,314.1,556.215,177.1282686,3.945928763,0.467095632,0.191680554,0.265422441,0.099525671,0.415598508,0.014881952,0.002898238,0.491542246,1.585071718,0.682653232,1.485494941,0.639767848,0.004015544,0.100906736,0.008290155,0.022797927,0.013471503,0.238471503,0.16619171,0.039378238,0.016321244,0.058678756,0.016062176,0.033031088,0.001554404,0.220984456,0.00738342,0.049611399,0.002849741,0.064501267,0.022852512,0.026948473,0.012103137,0.32477839,0.262944284,0.042490872,0.044049562,0.041364806,0.017406411,0.140560285,3.120837483,0.763514582,2.712670044,0.784137495,0.075687347,31,11479,1445,9243,4478,4765,2678,5554,1011,34.15633452,1.19,7767.226891
E02000007,363.2324165,32.5,150,270,464,1000,442.4005102,13.90670027,120.7092166,10.1,50,100,175,340.8,98.77279153,7.601588427,10.09582228,0,0.2,3.2,16,50.5,14.93233811,0.382660466,3.85952529,0,0.1,1,5.1,20,6.847473647,0.175475364,0.676906656,0,0.09,0.3,0.9,2.3,2.354378829,0.060334001,12.38818387,0,1.375,4.6,13.4,59.9,17.92711386,0.459405466,5.454796651,0,0.5,3.2,8,23.3,6.393548522,0.163842945,21.32289815,0,0.6,10.6,40.225,74,24.89008348,0.637840563,1.467091593,0,0,0.9,2.2,6.8,2.152166671,0.055152053,0.1398319,0,0,0,0,0,1.338912575,0.034311365,90.86240055,0,1.8,28.8,144,454.5,134.391043,3.443944197,34.73572761,0,0.9,9,45.9,180,61.62726282,1.579278272,49.55273548,0,5.5,18.4,53.6,239.6,71.70845542,1.837621864,21.8191866,0,2,12.8,32,93.2,25.57419409,0.655371782,85.29159262,0,2.4,42.4,160.9,296,99.56033392,2.551362253,2.719343814,0,0,1.4,4.05,13.6,4.267869133,0.109369663,0.978823301,0,0,0,0,0,9.372388025,0.240179558,201.6713469,0,48.1,139.8,322.075,602.56,182.8260719,4.685154423,0.450546902,0.17223928,0.245710341,0.108191803,0.422923702,0.013484037,0.004853557,0.555212965,1.587094464,0.683524381,1.51150945,0.650971687,0.005324631,0.084678805,0.010133975,0.029027825,0.017004466,0.205084164,0.168327035,0.061147372,0.025077293,0.071281347,0.011679835,0.026794916,0.002404672,0.222432154,0.004981106,0.045688767,0.008931639,0.053584589,0.028472015,0.036736157,0.017335772,0.296664598,0.203293107,0.083531429,0.058725488,0.066416205,0.010535073,0.144705568,3.230580088,0.79036317,2.908217746,0.840663458,0.042941276,31,8748,921,9664,4651,5013,2906,5681,1077,33.75196606,1.74,5554.022989
E02000008,401.652765,32.5,150,300,500,1500,542.5666429,13.64516633,105.1431667,11,33,75,135,340.8,93.28602471,5.283390113,9.804635711,0,0.2,2.7,14.5,50.9,15.34308547,0.313630641,3.815396912,0,0.1,0.9,4.625,21.5,6.819165523,0.139391732,0.573247918,0,0.03,0.2,0.8,2.4,1.282786065,0.02622165,11.40636037,0,1.2,4.2,12,60.7,17.33322182,0.354311359,5.333513484,0,0.4,2.95,8.2,23.5,6.455924352,0.131966657,20.00241409,0,0.3,8.7,33.2,76.3375,24.6600801,0.504080925,1.646541975,0,0,1,2.3,8.4,2.54526098,0.052028116,0.165253776,0,0,0,0,0,1.533295686,0.03134236,88.2417214,0,1.8,24.3,130.5,458.1,138.0877692,2.822675765,34.33857221,0,0.9,8.1,41.625,193.5,61.37248971,1.254525584,45.6254415,0,4.8,16.8,48,242.8,69.33288727,1.417245436,21.33405394,0,1.6,11.8,32.8,94,25.82369741,0.527866626,80.00965637,0,1.2,34.8,132.8,305.35,98.64032039,2.016323701,3.039625924,0,0,1.4,4.4,16,4.827152227,0.098672646,1.156776429,0,0,0,0,0,10.7330698,0.21939652,193.7818341,0,41.7,131.8,314.125,598.6875,182.1876911,3.72412983,0.455366324,0.177202225,0.235447465,0.110093157,0.412885226,0.015685815,0.005969478,0.482461098,1.625144773,0.699911757,1.532293803,0.659923021,0.007880911,0.097307356,0.01017951,0.030976357,0.016965849,0.241571804,0.159150613,0.051882662,0.025831874,0.063922942,0.017950963,0.038200525,0.005035026,0.186843257,0.004706655,0.035354641,0.006239054,0.055339511,0.028615797,0.029064673,0.014712629,0.317421641,0.24893157,0.057112775,0.05896191,0.053004411,0.01986438,0.116970703,3.260224486,0.797615688,2.816329189,0.814101708,0.066493623,31,13791,1450,12282,5933,6349,3530,7400,1352,34.45131086,1.42,8649.295775
E02000009,391.6568756,32.5,154,300,500,1000,444.9338817,8.272487796,130.5004995,9,44,100,200,528,143.2888264,5.988122114,9.260262654,0,0.2,2.8,14.1,46,14.00926362,0.209091846,3.56619586,0,0.1,0.8,4.4,20,6.087614348,0.090859203,0.595339305,0,0.03,0.25,0.83,2.3,1.527612288,0.022800005,10.96824665,0,1.4,4.2,11.8,59.9,16.59803272,0.247729888,5.192464197,0,0.5,3.2,8,22.5255,6.136061157,0.091582284,20.27616977,0,0.4,10.1,35.5,73.085,23.84716434,0.355925034,1.582539572,0,0,1,2.3,7.4,2.241470857,0.033454526,0.278390684,0,0,0,0,0,2.494585263,0.037232324,83.34236389,0,1.8,25.2,126.9,414,126.0833726,1.881826618,32.09576274,0,0.9,7.2,39.6,180,54.78852913,0.817732825,43.87298661,0,5.6,16.8,47.2,239.6,66.39213087,0.990919552,20.76985679,0,2,12.8,32,90.102,24.54424463,0.366329135,81.10467907,0,1.6,40.4,142,292.34,95.38865735,1.423700135,2.949013742,0,0,1.8,4.4,14.6,4.255856244,0.063519744,1.948734785,0,0,0,0,0,17.46209684,0.260626266,190.1146483,0,45.1,135.485,293.9,561.2,173.9606739,2.5964076,0.438379497,0.168823197,0.230771206,0.109249113,0.426609311,0.015511765,0.010250314,0.485411237,1.622913067,0.698950614,1.555813782,0.670052525,0.009270056,0.093400187,0.010727612,0.027168843,0.018715019,0.239972015,0.161263993,0.049265392,0.01848181,0.07136194,0.018190299,0.038479478,0.002798507,0.186042444,0.005538713,0.039878731,0.009444963,0.060412602,0.03026461,0.030932843,0.019099885,0.339327321,0.208985771,0.060509348,0.050225203,0.062795946,0.021778596,0.115667875,3.263373361,0.798386062,2.855166832,0.825328304,0.128974527,31,25984,2221,10504,5095,5409,3192,6498,814,31.68621478,0.96,10941.66667
E02000010,388.2558422,28,130,255,454,1000,681.0138812,21.23335979,112.7179293,15,43.75,75,175,340.8,102.6322068,7.158700665,9.524355878,0,0.2,2.6,14.4,48.2,14.33793675,0.35667578,3.645057971,0,0.1,0.8,4.2,20.455,6.56658838,0.163352864,0.569861916,0,0.03,0.2,0.8,2.2,1.500020712,0.037315066,11.24838325,0,1.4,4.1,12,58.455,16.84224112,0.418973775,5.216296296,0,0.4,3.1,7.6,23.5,6.314210133,0.15707461,19.71409501,0,0.2,9.3,30.2,74,23.963123,0.596115447,1.619830918,0,0,1.1,2.2,8,2.301374883,0.057249847,0.132620008,0,0,0,0,0,1.199143792,0.029830341,85.7192029,0,1.8,23.4,129.6,433.8,129.0414308,3.210082018,32.80552174,0,0.9,7.2,37.8,184.095,59.09929542,1.470175775,44.99353301,0,5.6,16.4,48,233.82,67.36896448,1.675895099,20.86518519,0,1.6,12.4,30.4,94,25.25684053,0.62829844,78.85638003,0,0.8,37.2,120.8,296,95.85249199,2.384461789,3.003639291,0,0,1.8,4.4,16,4.537173418,0.112868392,0.928340056,0,0,0,0,0,8.394006542,0.208812389,189.3727475,0,42.625,131.8,296.3,589.31,178.2025138,4.433031171,0.45264804,0.173232538,0.237592439,0.110180506,0.41640828,0.01586099,0.004902184,0.487752474,1.617195331,0.696488119,1.526966174,0.657628536,0.010526316,0.08582996,0.010202429,0.026396761,0.024129555,0.249878543,0.167611336,0.047125506,0.017004049,0.08,0.012307692,0.036761134,0.002591093,0.180566802,0.005668016,0.037732794,0.005668016,0.047252371,0.027843002,0.027420303,0.01994365,0.306904448,0.300404465,0.048858496,0.041461919,0.067341077,0.012644215,0.099926054,3.224169989,0.788794936,2.72813951,0.788609174,0.057779665,31,9312,1107,9091,4344,4747,2733,5479,879,33.47420526,1.12,8116.964286
E02000011,364.5890994,22,132,252,462,1000,451.2429123,15.28368963,115.6134868,18.9275,36.625,75,163.75,340.8,124.5872068,9.922853352,9.572025245,0,0.2,3,15,46.7,13.72309045,0.369261152,3.59736624,0,0.1,1,4.5,19.9,6.021492769,0.16202643,0.534837462,0,0.03,0.2,0.8,2.1,1.088933651,0.029301045,11.79472871,0,1.4,4.7,13.8,59,16.96749928,0.45656176,5.14154107,0,0.4,3.2,7.9,22.4,6.030742956,0.162275334,20.87279578,0,0.3,10.9,35.55,73.4325,24.1426356,0.64963045,1.653165034,0,0,1.1,2.4,7.7,2.28113972,0.061380946,0.127220942,0,0,0,0,0,1.437229036,0.038672983,86.1482272,0,1.8,27,135,420.3,123.5078141,3.323350367,32.37629616,0,0.9,9,40.5,179.1,54.19343492,1.458237871,47.17891485,0,5.6,18.8,55.2,236,67.86999712,1.826247039,20.56616428,0,1.6,12.8,31.6,89.6,24.12297182,0.649101337,83.49118312,0,1.2,43.6,142.2,293.73,96.57054239,2.598521801,3.052637528,0,0,2,4.6,14.8,4.489006169,0.120790255,0.890546594,0,0,0,0,0,10.06060325,0.270710884,194.1487587,0,45.9,131.8,320.8,542,176.6872954,4.754304757,0.443722781,0.166760253,0.243003948,0.105929929,0.430037172,0.015723188,0.004586929,0.532513888,1.593279408,0.686188092,1.51663583,0.653179499,0.011370097,0.099109342,0.008717074,0.025014213,0.021603184,0.228349441,0.166571916,0.0352473,0.023687701,0.087549744,0.010043585,0.040553345,0.001516013,0.200303203,0.007390563,0.028046238,0.004927042,0.067628335,0.024900231,0.029242126,0.018796216,0.370245189,0.194976877,0.035757851,0.06202249,0.064197143,0.014619828,0.117613714,3.206860705,0.78456021,2.770081727,0.800733193,0.088264691,31,7825,1007,6761,3318,3443,1774,4069,918,36.31237983,1.6,4225.625
E02000012,412.1276976,32.5,160,300,500,1400,534.1501841,7.309195563,126.290928,9,50,100,200,340.8,104.706248,3.421967538,9.611575986,0,0.3,2.7,14.8,49,14.76344143,0.165516272,3.834481662,0,0.1,0.9,4.6,21.4,6.740821265,0.075572868,0.623481633,0,0.05,0.2,0.8,2.3,2.055958293,0.023049812,11.85028824,0,1.4,4.5,12.7,60.7,17.65604692,0.197945924,5.108247015,0,0.5,3,7.6,23.6,6.185881625,0.069351314,20.53129724,0,0.7,8.8,37.8,75.5,24.79930705,0.278030625,1.604950106,0,0,1,2.3,7.7,2.339093356,0.026224103,0.104011403,0,0,0,0,0,1.200382586,0.01345776,86.50418387,0,2.7,24.3,133.2,441,132.8709729,1.489646446,34.51033496,0,0.9,8.1,41.4,192.6,60.66739138,0.680155808,47.40115295,0,5.6,18,50.8,242.8,70.62418769,0.791783697,20.43298806,0,2,12,30.4,94.4,24.7435265,0.277405256,82.12518894,0,2.8,35.2,151.2,302,99.19722821,1.112122499,2.979180108,0,0,1.8,4.4,14.6,4.461039532,0.05001372,0.728079823,0,0,0,0,0,8.402678102,0.094204319,192.7696208,0,42.4,131.1,315,578.1,180.7557463,2.026493441,0.448743861,0.179023722,0.245895348,0.10599693,0.426027652,0.015454614,0.003776943,0.467742454,1.591409679,0.685382843,1.509775144,0.650224763,0.005219618,0.096448034,0.011194275,0.034075241,0.024555184,0.251986081,0.151434574,0.044251855,0.019893638,0.054034535,0.020648677,0.032368196,0.001838356,0.20129998,0.006302935,0.038605476,0.005843346,0.055734184,0.028778224,0.033281556,0.02340969,0.356038533,0.210811243,0.047448986,0.0481176,0.049618116,0.022996891,0.123764976,3.2161348,0.786829122,2.806088483,0.81114148,0.198030901,31,45640,2866,10858,5377,5481,2906,6770,1182,34.16642107,1.29,8417.054264
E02000013,413.082825,29,160,325,500,1290,503.8529336,9.865682657,127.1414595,9,47.1,90,176,586.5,128.0465281,5.838676528,9.146532612,0,0.3,2.7,13.6,46.4,13.95524106,0.225000657,3.613418268,0,0.1,0.9,4.4,20.5,6.370416119,0.102710358,0.662686671,0,0.1,0.24,0.9,2.5,2.014880785,0.032485967,10.99803058,0,1.3,4,11.8,59.9,17.02295039,0.274461401,5.462661028,0,0.4,3.2,8.5,23.8,6.47102446,0.104332469,20.81628281,0,0.5,10,40.4,74,24.69511028,0.398159803,1.564684032,0,0,1,2.3,7.3525,2.315315714,0.037329886,0.205795687,0,0,0,0,0,1.885718177,0.030403475,82.3187935,0,2.7,24.3,122.4,417.6,125.5971695,2.025005911,32.52076441,0,0.9,8.1,39.6,184.5,57.33374507,0.924393226,43.99212233,0,5.2,16,47.2,239.6,68.09180157,1.097845606,21.85064411,0,1.6,12.8,34,95.2,25.88409784,0.417329876,83.26513126,0,2,40,161.6,296,98.78044112,1.592639212,2.91068065,0,0,1.6,4.4,14.105,4.463128216,0.071959114,1.440569812,0,0,0,0,0,13.20002724,0.212824328,191.7858193,0,46.2,138.7,297,553.315,173.2487639,2.793293609,0.429222524,0.169568139,0.229381518,0.113932533,0.434156871,0.015176725,0.007511347,0.464279335,1.606537538,0.691898057,1.548077019,0.666720482,0.008046369,0.101738834,0.008932833,0.029594272,0.018479373,0.229594272,0.170678486,0.057279236,0.023798159,0.065052847,0.01732015,0.03150358,0.005455165,0.18588476,0.006409819,0.033958404,0.00627344,0.062603295,0.025137762,0.030017631,0.016664594,0.324080302,0.241536012,0.058492984,0.050421018,0.055538348,0.02071992,0.114788134,3.261846377,0.798012484,2.818853233,0.81483132,0.106898223,31,22278,1545,8771,4250,4521,2711,5162,898,33.23463687,1.3,6746.923077
E02000014,396.3511016,27.6,150,285,500,1200,553.2564974,16.69519584,108.1501362,15,33,70,132,340.8,110.9815119,8.042080165,9.321895062,0,0.2,2.8,14.225,45.1,13.5332998,0.329568299,3.657720679,0,0.1,0.9,4.2,20.5,6.161100481,0.150037569,0.571485532,0,0.0315,0.25,0.8,2.25125,1.594307923,0.038825221,11.55909259,0,1.1,4,12,61.1,17.48354452,0.425766229,5.346552469,0,0.4,3.2,8,23,6.316012445,0.153810047,20.84354475,0,0.2,10,38.3,75.605,24.54471922,0.597722764,1.612200617,0,0,1.1,2.4,7.5,2.181527599,0.053125428,0.154731867,0,0,0,0,0,1.549133386,0.037725112,83.89705556,0,1.8,25.2,128.025,405.9,121.7996982,2.966114689,32.91948611,0,0.9,8.1,37.8,184.5,55.44990433,1.350338122,46.23637037,0,4.4,16,48,244.4,69.93417807,1.703064917,21.38620988,0,1.6,12.8,32,92,25.26404978,0.615240188,83.37417901,0,0.8,40,153.2,302.42,98.1788769,2.390891055,2.999061728,0,0,2,4.6,14.4,4.226107655,0.102915854,1.083123071,0,0,0,0,0,10.8439337,0.264075786,192.7396292,0,45.6,144,303.9,544.6,173.5647181,4.226717039,0.435287003,0.170797704,0.239890315,0.110959069,0.432574138,0.015560172,0.005619618,0.486285085,1.599625542,0.688921222,1.532715158,0.660104489,0.008229814,0.075931677,0.010093168,0.024534161,0.029503106,0.238975155,0.175621118,0.048602484,0.018322981,0.075310559,0.011645963,0.036645963,0.005279503,0.195341615,0.006832298,0.034937888,0.004192547,0.049926361,0.028576486,0.031861638,0.022933443,0.352908768,0.237266123,0.048707676,0.047781017,0.049574122,0.014298479,0.116165886,3.221585315,0.788162594,2.753751827,0.796012794,0.049956723,31,9588,1010,9618,4616,5002,2806,5767,1045,34.30494906,1.2,8015
